id,Prof,Ram,Dhananjay,Guru,Ashutosh
AshishAmresh--AdamDoupe,N,N,N,N,N
AshishAmresh--GeorgiosFainekos,N,N,Y,N,N
AshishAmresh--AshrafGaffar,N,N,N,Y,N
AshishAmresh--KevinGary,Y,N,Y,N,N
AshishAmresh--EsmaGel,N,N,N,N,N
AshishAmresh--JavierGonzalezSanchez,Y,N,Y,Y,N
AshishAmresh--SandeepGupta,N,N,N,N,N
AshishAmresh--DianneHansford,N,N,Y,N,N
AshishAmresh--JingruiHe,N,N,N,N,N
AshishAmresh--DijiangHuang,N,N,N,N,N
AshishAmresh--SubbaraoKambhampati,N,N,Y,N,N
AshishAmresh--JoohyungLee,N,N,Y,N,N
AshishAmresh--YannHangLee,N,N,N,N,N
AshishAmresh--BaoxinLi,N,N,Y,N,N
AshishAmresh--TimLindquist,N,N,N,N,N
AshishAmresh--RossMaciejewski,N,N,N,Y,N
AshishAmresh--RyanMeuth,N,N,Y,Y,N
AshishAmresh--PituMirchandani,N,N,Y,N,N
AshishAmresh--BrianNelson,Y,Y,N,Y,N
AshishAmresh--RongPan,N,N,N,N,N
AshishAmresh--SethuramanPanchanathan,N,N,N,Y,N
AshishAmresh--PaoloPapotti,N,N,Y,N,N
AshishAmresh--GiuliaPedrielli,N,N,N,N,N
AshishAmresh--FengboRen,N,N,N,N,N
AshishAmresh--AndreaWRicha,N,N,N,N,N
AshishAmresh--GeorgeRunger,N,N,Y,N,N
AshishAmresh--HessamSarjoughian,N,N,Y,N,N
AshishAmresh--MohamedSarwat,N,N,Y,N,N
AshishAmresh--ArunabhaSen,N,N,Y,N,N
AshishAmresh--PauloShakarian,N,N,N,N,N
AshishAmresh--AviralShrivastava,N,N,N,N,N
AshishAmresh--DanShunk,N,N,Y,N,N
AshishAmresh--VioletSyrotiuk,N,N,N,N,N
AshishAmresh--HanghangTong,N,N,Y,N,N
AshishAmresh--KurtVanLehn,Y,N,N,N,N
AshishAmresh--JReneVillalobos,N,N,N,N,N
AshishAmresh--SarmaVrudhula,N,N,N,N,N
AshishAmresh--ErinWalker,Y,N,N,Y,N
AshishAmresh--CaroleJeanWu,N,N,N,N,N
AshishAmresh--TeresaWu,N,N,N,N,N
AshishAmresh--GuoliangXue,N,N,N,N,N
AshishAmresh--YezhouYang,N,N,N,N,N
AshishAmresh--StephenSYau,N,N,N,N,N
RonaldAskin--RobertAtkinson,N,N,N,N,N
RonaldAskin--JanakaBalasooriya,N,N,N,N,N
RonaldAskin--AjayBansal,N,N,N,N,N
RonaldAskin--SrividyaBansal,N,N,N,N,N
RonaldAskin--ChittaBaral,N,N,N,N,N
RonaldAskin--RidaBazzi,N,N,N,N,N
RonaldAskin--HeniBenAmor,N,N,N,N,N
RonaldAskin--NadyaBliss,N,N,N,N,N
RonaldAskin--KSelcukCandan,N,N,N,N,N
RonaldAskin--YinongChen,N,N,N,N,N
RonaldAskin--CharlesColbourn,N,N,Y,N,N
RonaldAskin--JamesCollofello,N,N,Y,N,N
RonaldAskin--ParthaDasgupta,N,N,N,N,N
RonaldAskin--HasanDavulcu,N,N,Y,N,N
RonaldAskin--AdamDoupe,N,N,Y,N,N
RonaldAskin--GeorgiosFainekos,N,N,Y,N,N
RonaldAskin--AshrafGaffar,N,N,Y,N,N
RonaldAskin--KevinGary,N,N,Y,N,N
RonaldAskin--EsmaGel,Y,N,Y,Y,N
RonaldAskin--JavierGonzalezSanchez,N,N,Y,N,N
RonaldAskin--SandeepGupta,N,N,N,N,N
RonaldAskin--DianneHansford,N,N,Y,N,N
RonaldAskin--JingruiHe,N,N,Y,N,N
RonaldAskin--DijiangHuang,N,N,Y,N,N
RonaldAskin--SubbaraoKambhampati,N,N,Y,N,N
RonaldAskin--JoohyungLee,N,N,N,N,N
RonaldAskin--YannHangLee,N,N,Y,N,N
RonaldAskin--BaoxinLi,N,N,Y,N,N
RonaldAskin--TimLindquist,N,N,Y,N,N
RonaldAskin--RossMaciejewski,N,N,N,N,N
RonaldAskin--RyanMeuth,N,N,N,N,N
RonaldAskin--PituMirchandani,N,Y,Y,Y,N
RonaldAskin--BrianNelson,N,N,N,N,N
RonaldAskin--RongPan,N,N,Y,N,N
RonaldAskin--SethuramanPanchanathan,N,N,Y,N,N
RonaldAskin--PaoloPapotti,N,N,N,N,N
RonaldAskin--GiuliaPedrielli,N,N,N,Y,N
RonaldAskin--FengboRen,N,N,Y,N,N
RonaldAskin--AndreaWRicha,N,N,N,N,N
RonaldAskin--GeorgeRunger,N,N,Y,Y,N
RonaldAskin--HessamSarjoughian,N,N,N,N,N
RonaldAskin--MohamedSarwat,N,N,Y,N,N
RonaldAskin--ArunabhaSen,N,N,N,N,N
RonaldAskin--PauloShakarian,N,N,Y,N,N
RonaldAskin--AviralShrivastava,N,N,Y,N,N
RonaldAskin--DanShunk,N,Y,N,N,N
RonaldAskin--VioletSyrotiuk,N,N,Y,N,N
RonaldAskin--HanghangTong,N,N,N,N,N
RonaldAskin--KurtVanLehn,N,N,Y,N,N
RonaldAskin--JReneVillalobos,Y,Y,N,Y,N
RonaldAskin--SarmaVrudhula,N,N,Y,N,N
RonaldAskin--ErinWalker,N,N,N,N,N
RonaldAskin--CaroleJeanWu,N,N,N,N,N
RonaldAskin--TeresaWu,N,N,Y,N,N
RonaldAskin--GuoliangXue,N,N,N,N,N
RonaldAskin--YezhouYang,Y,N,N,N,N
RonaldAskin--StephenSYau,N,N,N,N,N
RobertAtkinson--JanakaBalasooriya,N,N,N,N,N
RobertAtkinson--AjayBansal,N,N,N,N,Y
RobertAtkinson--SrividyaBansal,N,Y,N,N,N
RobertAtkinson--ChittaBaral,N,N,N,Y,N
RobertAtkinson--RidaBazzi,N,N,N,N,N
RobertAtkinson--HeniBenAmor,N,N,Y,N,N
RobertAtkinson--NadyaBliss,N,N,Y,N,N
RobertAtkinson--KSelcukCandan,N,N,N,N,N
RobertAtkinson--YinongChen,N,N,N,N,N
RobertAtkinson--CharlesColbourn,N,N,Y,N,N
RobertAtkinson--JamesCollofello,N,N,N,N,N
RobertAtkinson--ParthaDasgupta,N,N,N,N,N
RobertAtkinson--HasanDavulcu,N,N,N,N,N
RobertAtkinson--AdamDoupe,N,N,N,N,N
RobertAtkinson--GeorgiosFainekos,N,N,N,N,N
RobertAtkinson--AshrafGaffar,N,Y,N,Y,N
RobertAtkinson--KevinGary,Y,N,Y,N,N
RobertAtkinson--EsmaGel,N,N,N,N,N
RobertAtkinson--JavierGonzalezSanchez,Y,N,N,Y,N
RobertAtkinson--SandeepGupta,N,N,Y,N,N
RobertAtkinson--DianneHansford,N,N,N,N,N
RobertAtkinson--JingruiHe,N,N,N,N,Y
RobertAtkinson--DijiangHuang,N,N,N,N,N
RobertAtkinson--SubbaraoKambhampati,N,N,N,N,N
RobertAtkinson--JoohyungLee,N,N,Y,N,N
RobertAtkinson--YannHangLee,N,N,N,N,N
RobertAtkinson--BaoxinLi,N,N,N,N,N
RobertAtkinson--TimLindquist,N,N,Y,N,N
RobertAtkinson--RossMaciejewski,N,N,N,N,N
RobertAtkinson--RyanMeuth,N,Y,N,Y,N
RobertAtkinson--PituMirchandani,N,N,N,N,N
RobertAtkinson--BrianNelson,Y,Y,N,N,N
RobertAtkinson--RongPan,N,N,Y,N,N
RobertAtkinson--SethuramanPanchanathan,N,Y,N,Y,N
RobertAtkinson--PaoloPapotti,N,N,N,N,N
RobertAtkinson--GiuliaPedrielli,N,N,Y,N,N
RobertAtkinson--FengboRen,N,N,N,N,N
RobertAtkinson--AndreaWRicha,N,N,Y,N,N
RobertAtkinson--GeorgeRunger,N,N,Y,N,N
RobertAtkinson--HessamSarjoughian,N,N,N,N,N
RobertAtkinson--MohamedSarwat,N,N,Y,N,N
RobertAtkinson--ArunabhaSen,N,N,Y,N,N
RobertAtkinson--PauloShakarian,N,N,Y,N,Y
RobertAtkinson--AviralShrivastava,N,N,Y,N,N
RobertAtkinson--DanShunk,N,N,Y,N,N
RobertAtkinson--VioletSyrotiuk,N,N,Y,Y,N
RobertAtkinson--HanghangTong,N,N,N,N,Y
RobertAtkinson--KurtVanLehn,Y,Y,N,Y,N
RobertAtkinson--JReneVillalobos,N,N,N,N,N
RobertAtkinson--SarmaVrudhula,N,N,N,N,N
RobertAtkinson--ErinWalker,Y,Y,Y,Y,N
RobertAtkinson--CaroleJeanWu,N,N,N,N,N
RobertAtkinson--TeresaWu,N,N,N,N,N
RobertAtkinson--GuoliangXue,N,N,N,N,N
RobertAtkinson--YezhouYang,N,N,N,Y,Y
RobertAtkinson--StephenSYau,N,N,N,N,N
JanakaBalasooriya--AjayBansal,Y,Y,N,N,N
JanakaBalasooriya--SrividyaBansal,Y,Y,Y,N,N
JanakaBalasooriya--ChittaBaral,N,N,N,N,N
JanakaBalasooriya--RidaBazzi,N,N,Y,Y,N
JanakaBalasooriya--HeniBenAmor,N,N,N,N,N
JanakaBalasooriya--NadyaBliss,N,N,Y,N,N
JanakaBalasooriya--KSelcukCandan,N,N,N,N,N
JanakaBalasooriya--YinongChen,N,Y,N,Y,N
JanakaBalasooriya--CharlesColbourn,N,N,Y,N,N
JanakaBalasooriya--JamesCollofello,Y,N,N,N,N
JanakaBalasooriya--ParthaDasgupta,N,Y,Y,Y,N
JanakaBalasooriya--HasanDavulcu,N,N,Y,N,N
JanakaBalasooriya--AdamDoupe,N,N,Y,N,N
JanakaBalasooriya--GeorgiosFainekos,N,N,N,N,N
JanakaBalasooriya--AshrafGaffar,N,N,Y,N,N
JanakaBalasooriya--KevinGary,Y,N,N,N,N
JanakaBalasooriya--EsmaGel,N,N,Y,N,N
JanakaBalasooriya--JavierGonzalezSanchez,N,N,Y,N,N
JanakaBalasooriya--SandeepGupta,N,Y,N,Y,N
JanakaBalasooriya--DianneHansford,N,N,N,N,N
JanakaBalasooriya--JingruiHe,N,N,N,N,N
JanakaBalasooriya--DijiangHuang,N,N,Y,N,Y
JanakaBalasooriya--SubbaraoKambhampati,N,N,Y,N,N
JanakaBalasooriya--JoohyungLee,N,N,Y,N,N
JanakaBalasooriya--YannHangLee,N,Y,Y,Y,Y
JanakaBalasooriya--BaoxinLi,N,N,N,N,N
JanakaBalasooriya--TimLindquist,Y,N,N,Y,N
JanakaBalasooriya--RossMaciejewski,N,N,Y,N,N
JanakaBalasooriya--RyanMeuth,N,N,Y,N,N
JanakaBalasooriya--PituMirchandani,N,N,N,N,N
JanakaBalasooriya--BrianNelson,N,N,Y,N,N
JanakaBalasooriya--RongPan,N,N,N,N,N
JanakaBalasooriya--SethuramanPanchanathan,N,N,N,N,Y
JanakaBalasooriya--PaoloPapotti,N,N,N,N,N
JanakaBalasooriya--GiuliaPedrielli,N,N,N,N,N
JanakaBalasooriya--FengboRen,N,N,Y,N,N
JanakaBalasooriya--AndreaWRicha,N,N,Y,Y,N
JanakaBalasooriya--GeorgeRunger,N,N,N,N,N
JanakaBalasooriya--HessamSarjoughian,N,N,Y,N,N
JanakaBalasooriya--MohamedSarwat,N,N,Y,N,N
JanakaBalasooriya--ArunabhaSen,N,N,N,N,N
JanakaBalasooriya--PauloShakarian,N,N,Y,N,N
JanakaBalasooriya--AviralShrivastava,N,N,Y,N,Y
JanakaBalasooriya--DanShunk,N,N,N,N,N
JanakaBalasooriya--VioletSyrotiuk,N,N,Y,N,N
JanakaBalasooriya--HanghangTong,N,N,N,N,N
JanakaBalasooriya--KurtVanLehn,N,N,N,N,N
JanakaBalasooriya--JReneVillalobos,N,N,N,N,N
JanakaBalasooriya--SarmaVrudhula,N,N,N,N,N
JanakaBalasooriya--ErinWalker,N,N,N,N,N
JanakaBalasooriya--CaroleJeanWu,N,N,N,N,N
JanakaBalasooriya--TeresaWu,N,N,Y,N,N
JanakaBalasooriya--GuoliangXue,N,N,N,N,N
JanakaBalasooriya--YezhouYang,N,N,N,Y,N
JanakaBalasooriya--StephenSYau,Y,Y,N,N,N
AjayBansal--SrividyaBansal,Y,Y,Y,Y,N
AjayBansal--ChittaBaral,Y,Y,Y,Y,Y
AjayBansal--RidaBazzi,N,N,N,N,N
AjayBansal--HeniBenAmor,Y,N,Y,Y,N
AjayBansal--NadyaBliss,N,N,Y,N,N
AjayBansal--KSelcukCandan,N,N,N,N,N
AjayBansal--YinongChen,Y,Y,N,N,N
AjayBansal--CharlesColbourn,N,N,N,N,N
AjayBansal--JamesCollofello,N,N,Y,N,N
AjayBansal--ParthaDasgupta,N,N,Y,N,N
AjayBansal--HasanDavulcu,N,N,N,Y,N
AjayBansal--AdamDoupe,N,N,Y,N,N
AjayBansal--GeorgiosFainekos,N,N,Y,N,N
AjayBansal--AshrafGaffar,N,N,N,N,N
AjayBansal--KevinGary,N,N,N,N,N
AjayBansal--EsmaGel,N,N,N,N,N
AjayBansal--JavierGonzalezSanchez,N,N,Y,N,N
AjayBansal--SandeepGupta,N,N,N,N,N
AjayBansal--DianneHansford,N,N,N,N,N
AjayBansal--JingruiHe,N,N,N,Y,Y
AjayBansal--DijiangHuang,N,N,Y,N,N
AjayBansal--SubbaraoKambhampati,N,Y,N,Y,N
AjayBansal--JoohyungLee,Y,Y,N,Y,Y
AjayBansal--YannHangLee,N,Y,Y,Y,N
AjayBansal--BaoxinLi,N,N,N,N,N
AjayBansal--TimLindquist,N,N,N,N,N
AjayBansal--RossMaciejewski,N,N,N,N,N
AjayBansal--RyanMeuth,N,N,Y,N,N
AjayBansal--PituMirchandani,N,N,Y,N,N
AjayBansal--BrianNelson,N,N,Y,N,N
AjayBansal--RongPan,N,N,N,N,N
AjayBansal--SethuramanPanchanathan,N,N,N,N,N
AjayBansal--PaoloPapotti,N,N,Y,N,N
AjayBansal--GiuliaPedrielli,N,N,N,N,N
AjayBansal--FengboRen,N,N,N,Y,N
AjayBansal--AndreaWRicha,N,N,N,N,N
AjayBansal--GeorgeRunger,N,N,N,N,N
AjayBansal--HessamSarjoughian,N,N,Y,N,N
AjayBansal--MohamedSarwat,N,N,N,N,N
AjayBansal--ArunabhaSen,N,N,Y,N,N
AjayBansal--PauloShakarian,N,N,N,N,N
AjayBansal--AviralShrivastava,N,N,Y,N,N
AjayBansal--DanShunk,N,N,Y,N,N
AjayBansal--VioletSyrotiuk,N,N,N,N,N
AjayBansal--HanghangTong,N,Y,N,Y,Y
AjayBansal--KurtVanLehn,N,N,N,N,N
AjayBansal--JReneVillalobos,N,N,N,N,N
AjayBansal--SarmaVrudhula,N,N,N,N,N
AjayBansal--ErinWalker,N,N,N,N,N
AjayBansal--CaroleJeanWu,N,N,Y,N,N
AjayBansal--TeresaWu,N,N,Y,N,N
AjayBansal--GuoliangXue,N,N,Y,N,N
AjayBansal--YezhouYang,Y,N,N,N,N
AjayBansal--StephenSYau,N,N,N,N,N
SrividyaBansal--ChittaBaral,N,N,N,N,N
SrividyaBansal--RidaBazzi,N,N,N,N,N
SrividyaBansal--HeniBenAmor,N,N,N,N,N
SrividyaBansal--NadyaBliss,N,N,Y,N,N
SrividyaBansal--KSelcukCandan,Y,N,N,N,N
SrividyaBansal--YinongChen,N,Y,Y,N,N
SrividyaBansal--CharlesColbourn,N,N,N,N,N
SrividyaBansal--JamesCollofello,Y,N,Y,N,N
SrividyaBansal--ParthaDasgupta,N,N,N,N,N
SrividyaBansal--HasanDavulcu,Y,N,Y,Y,N
SrividyaBansal--AdamDoupe,N,N,Y,N,N
SrividyaBansal--GeorgiosFainekos,N,N,N,N,N
SrividyaBansal--AshrafGaffar,Y,N,N,N,N
SrividyaBansal--KevinGary,Y,N,Y,N,N
SrividyaBansal--EsmaGel,N,N,Y,N,N
SrividyaBansal--JavierGonzalezSanchez,N,N,Y,N,N
SrividyaBansal--SandeepGupta,N,N,Y,N,N
SrividyaBansal--DianneHansford,N,N,N,N,N
SrividyaBansal--JingruiHe,N,N,Y,N,N
SrividyaBansal--DijiangHuang,N,N,N,N,N
SrividyaBansal--SubbaraoKambhampati,N,N,N,N,N
SrividyaBansal--JoohyungLee,N,N,Y,N,N
SrividyaBansal--YannHangLee,N,Y,N,N,N
SrividyaBansal--BaoxinLi,N,N,N,N,N
SrividyaBansal--TimLindquist,N,N,Y,N,N
SrividyaBansal--RossMaciejewski,N,N,Y,N,N
SrividyaBansal--RyanMeuth,N,N,Y,N,N
SrividyaBansal--PituMirchandani,N,N,N,N,N
SrividyaBansal--BrianNelson,N,Y,Y,N,N
SrividyaBansal--RongPan,N,N,N,N,N
SrividyaBansal--SethuramanPanchanathan,N,N,N,N,N
SrividyaBansal--PaoloPapotti,Y,N,N,N,N
SrividyaBansal--GiuliaPedrielli,N,N,Y,N,N
SrividyaBansal--FengboRen,N,N,Y,N,N
SrividyaBansal--AndreaWRicha,N,N,Y,N,N
SrividyaBansal--GeorgeRunger,N,N,N,N,N
SrividyaBansal--HessamSarjoughian,N,N,N,N,N
SrividyaBansal--MohamedSarwat,N,N,N,N,N
SrividyaBansal--ArunabhaSen,N,N,N,N,N
SrividyaBansal--PauloShakarian,N,N,Y,N,N
SrividyaBansal--AviralShrivastava,N,N,Y,N,N
SrividyaBansal--DanShunk,N,N,Y,N,N
SrividyaBansal--VioletSyrotiuk,N,N,N,N,N
SrividyaBansal--HanghangTong,N,N,Y,N,N
SrividyaBansal--KurtVanLehn,N,Y,N,N,N
SrividyaBansal--JReneVillalobos,N,N,N,N,N
SrividyaBansal--SarmaVrudhula,N,N,Y,N,N
SrividyaBansal--ErinWalker,N,Y,Y,N,N
SrividyaBansal--CaroleJeanWu,N,N,Y,N,N
SrividyaBansal--TeresaWu,N,N,N,N,N
SrividyaBansal--GuoliangXue,N,N,Y,N,N
SrividyaBansal--YezhouYang,N,N,N,N,N
SrividyaBansal--StephenSYau,Y,N,N,N,N
ChittaBaral--RidaBazzi,N,N,N,N,N
ChittaBaral--HeniBenAmor,N,N,Y,N,N
ChittaBaral--NadyaBliss,N,N,N,N,N
ChittaBaral--KSelcukCandan,N,N,Y,N,N
ChittaBaral--YinongChen,N,N,N,N,N
ChittaBaral--CharlesColbourn,N,N,Y,N,N
ChittaBaral--JamesCollofello,N,N,Y,N,N
ChittaBaral--ParthaDasgupta,N,N,N,N,N
ChittaBaral--HasanDavulcu,Y,N,Y,N,N
ChittaBaral--AdamDoupe,N,N,Y,N,N
ChittaBaral--GeorgiosFainekos,N,N,Y,N,N
ChittaBaral--AshrafGaffar,N,N,Y,N,N
ChittaBaral--KevinGary,N,N,Y,N,N
ChittaBaral--EsmaGel,N,N,N,N,N
ChittaBaral--JavierGonzalezSanchez,N,N,Y,N,N
ChittaBaral--SandeepGupta,N,N,N,N,N
ChittaBaral--DianneHansford,N,N,N,N,N
ChittaBaral--JingruiHe,N,N,N,N,N
ChittaBaral--DijiangHuang,N,N,Y,N,N
ChittaBaral--SubbaraoKambhampati,Y,N,N,N,N
ChittaBaral--JoohyungLee,Y,Y,Y,Y,Y
ChittaBaral--YannHangLee,N,N,N,N,N
ChittaBaral--BaoxinLi,N,N,N,N,N
ChittaBaral--TimLindquist,N,N,Y,N,N
ChittaBaral--RossMaciejewski,N,N,Y,N,N
ChittaBaral--RyanMeuth,N,N,N,N,N
ChittaBaral--PituMirchandani,N,N,N,N,N
ChittaBaral--BrianNelson,N,N,N,N,N
ChittaBaral--RongPan,N,N,N,N,N
ChittaBaral--SethuramanPanchanathan,N,N,Y,N,N
ChittaBaral--PaoloPapotti,N,N,Y,N,N
ChittaBaral--GiuliaPedrielli,N,N,N,N,N
ChittaBaral--FengboRen,N,N,Y,N,N
ChittaBaral--AndreaWRicha,N,N,N,N,N
ChittaBaral--GeorgeRunger,N,N,Y,N,N
ChittaBaral--HessamSarjoughian,N,N,Y,N,N
ChittaBaral--MohamedSarwat,N,N,Y,N,N
ChittaBaral--ArunabhaSen,N,N,N,N,N
ChittaBaral--PauloShakarian,N,N,Y,N,N
ChittaBaral--AviralShrivastava,N,N,N,N,N
ChittaBaral--DanShunk,N,N,N,N,N
ChittaBaral--VioletSyrotiuk,N,N,N,N,N
ChittaBaral--HanghangTong,N,N,N,N,N
ChittaBaral--KurtVanLehn,N,Y,N,N,N
ChittaBaral--JReneVillalobos,N,N,N,N,N
ChittaBaral--SarmaVrudhula,N,N,N,N,N
ChittaBaral--ErinWalker,N,N,Y,N,N
ChittaBaral--CaroleJeanWu,N,N,N,N,N
ChittaBaral--TeresaWu,N,N,Y,N,N
ChittaBaral--GuoliangXue,N,N,Y,N,N
ChittaBaral--YezhouYang,Y,N,N,N,N
ChittaBaral--StephenSYau,N,N,N,N,N
RidaBazzi--HeniBenAmor,N,N,N,N,N
RidaBazzi--NadyaBliss,N,Y,Y,Y,N
RidaBazzi--KSelcukCandan,N,N,Y,N,N
RidaBazzi--YinongChen,N,Y,Y,Y,Y
RidaBazzi--CharlesColbourn,N,N,Y,N,N
RidaBazzi--JamesCollofello,N,N,N,N,N
RidaBazzi--ParthaDasgupta,N,Y,N,Y,Y
RidaBazzi--HasanDavulcu,N,N,Y,N,N
RidaBazzi--AdamDoupe,N,Y,N,Y,Y
RidaBazzi--GeorgiosFainekos,N,N,Y,N,N
RidaBazzi--AshrafGaffar,N,N,N,N,N
RidaBazzi--KevinGary,N,N,Y,N,N
RidaBazzi--EsmaGel,N,N,Y,N,N
RidaBazzi--JavierGonzalezSanchez,N,N,Y,N,N
RidaBazzi--SandeepGupta,N,N,N,Y,Y
RidaBazzi--DianneHansford,N,N,N,N,N
RidaBazzi--JingruiHe,N,N,N,N,N
RidaBazzi--DijiangHuang,N,Y,Y,N,Y
RidaBazzi--SubbaraoKambhampati,N,N,N,N,N
RidaBazzi--JoohyungLee,N,N,N,N,N
RidaBazzi--YannHangLee,N,N,Y,Y,N
RidaBazzi--BaoxinLi,N,N,Y,N,N
RidaBazzi--TimLindquist,N,N,N,N,N
RidaBazzi--RossMaciejewski,N,N,N,N,N
RidaBazzi--RyanMeuth,N,N,Y,N,N
RidaBazzi--PituMirchandani,N,N,N,N,N
RidaBazzi--BrianNelson,N,N,Y,N,N
RidaBazzi--RongPan,N,N,N,N,N
RidaBazzi--SethuramanPanchanathan,N,N,N,N,N
RidaBazzi--PaoloPapotti,N,N,N,N,N
RidaBazzi--GiuliaPedrielli,N,N,Y,N,N
RidaBazzi--FengboRen,N,N,N,N,N
RidaBazzi--AndreaWRicha,Y,N,N,N,N
RidaBazzi--GeorgeRunger,N,N,Y,N,N
RidaBazzi--HessamSarjoughian,N,N,Y,N,N
RidaBazzi--MohamedSarwat,N,N,Y,N,N
RidaBazzi--ArunabhaSen,Y,N,Y,N,N
RidaBazzi--PauloShakarian,N,Y,N,Y,N
RidaBazzi--AviralShrivastava,N,N,Y,N,N
RidaBazzi--DanShunk,N,N,Y,N,N
RidaBazzi--VioletSyrotiuk,Y,N,N,N,N
RidaBazzi--HanghangTong,N,N,N,N,N
RidaBazzi--KurtVanLehn,N,N,Y,N,N
RidaBazzi--JReneVillalobos,N,N,N,N,N
RidaBazzi--SarmaVrudhula,N,N,N,N,N
RidaBazzi--ErinWalker,N,N,N,N,N
RidaBazzi--CaroleJeanWu,N,N,Y,N,N
RidaBazzi--TeresaWu,N,N,N,N,N
RidaBazzi--GuoliangXue,N,Y,N,Y,N
RidaBazzi--YezhouYang,N,N,Y,N,N
RidaBazzi--StephenSYau,N,Y,N,Y,Y
HeniBenAmor--NadyaBliss,N,N,Y,N,N
HeniBenAmor--KSelcukCandan,N,N,N,N,N
HeniBenAmor--YinongChen,N,N,N,N,N
HeniBenAmor--CharlesColbourn,N,N,Y,N,N
HeniBenAmor--JamesCollofello,N,N,N,N,N
HeniBenAmor--ParthaDasgupta,N,N,Y,N,N
